"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2018","1,324.20","1,323.80","1,325.50","1,318.00","0.14K","0.85%"
"Feb 09, 2018","1,313.10","1,320.90","1,322.00","1,311.90","0.45K","-0.29%"
"Feb 08, 2018","1,316.90","1,317.10","1,321.10","1,307.00","0.46K","0.40%"
"Feb 07, 2018","1,311.60","1,325.40","1,331.10","1,310.50","0.49K","-1.09%"
"Feb 06, 2018","1,326.10","1,338.20","1,343.70","1,319.50","0.53K","-0.52%"
"Feb 05, 2018","1,333.00","1,331.10","1,340.20","1,329.00","0.64K","-0.05%"
"Feb 02, 2018","1,333.70","1,348.50","1,352.10","1,327.70","2.84K","-0.79%"
"Feb 01, 2018","1,344.30","1,343.80","1,350.60","1,336.80","1.68K","0.40%"
"Jan 31, 2018","1,339.00","1,337.50","1,346.90","1,331.80","4.88K","0.27%"
"Jan 30, 2018","1,335.40","1,338.70","1,347.80","1,332.80","52.10K","-0.33%"
"Jan 29, 2018","1,339.80","1,339.80","1,339.80","1,339.80","0.01K","-0.87%"
"Jan 26, 2018","1,351.60","1,351.60","1,352.00","1,350.90","0.00K","-0.79%"
"Jan 25, 2018","1,362.40","1,356.30","1,356.40","1,346.70","0.00K","0.48%"
"Jan 24, 2018","1,355.90","1,357.20","1,357.20","1,357.20","0.02K","1.51%"
"Jan 23, 2018","1,335.70","1,335.80","1,335.90","1,335.80","0.05K","0.36%"
"Jan 22, 2018","1,330.90","1,328.40","1,328.40","1,328.40","0.16K","-0.08%"
"Jan 19, 2018","1,331.90","1,330.10","1,333.00","1,330.10","0.05K","0.44%"
"Jan 18, 2018","1,326.00","1,328.90","1,328.90","1,326.60","0.21K","-0.90%"
"Jan 17, 2018","1,338.00","1,334.40","1,334.40","1,326.80","0.03K","0.19%"
"Jan 16, 2018","1,335.40","1,331.10","1,332.50","1,331.00","0.01K","-0.48%"
"Jan 15, 2018","1,341.80","1,337.30","1,344.90","1,337.00","-","0.33%"
"Jan 14, 2018","1,337.40","1,337.70","1,338.60","1,336.40","-","0.30%"
"Jan 12, 2018","1,333.40","1,327.80","1,338.20","1,327.80","0.01K","0.97%"
"Jan 11, 2018","1,320.60","1,317.10","1,317.10","1,316.30","0.01K","0.24%"
"Jan 10, 2018","1,317.40","1,320.30","1,320.70","1,315.30","0.07K","0.43%"
"Jan 09, 2018","1,311.70","1,309.60","1,309.60","1,309.60","0.02K","-0.52%"
"Jan 08, 2018","1,318.60","1,319.90","1,319.90","1,314.60","0.04K","-0.13%"
"Jan 05, 2018","1,320.30","1,320.30","1,320.30","1,320.30","0.00K","0.07%"
"Jan 04, 2018","1,319.40","1,322.00","1,322.00","1,321.90","0.00K","0.24%"
"Jan 03, 2018","1,316.20","1,320.00","1,320.10","1,312.10","0.04K","0.19%"
"Jan 02, 2018","1,313.70","1,302.30","1,317.60","1,302.30","0.07K","0.38%"
"Jan 01, 2018","1,308.70","1,305.80","1,309.70","1,304.60","-","0.18%"
"Dec 29, 2017","1,306.30","1,294.20","1,305.00","1,294.00","0.07K","0.94%"
"Dec 28, 2017","1,294.10","1,288.20","1,293.70","1,288.20","0.25K","0.55%"
"Dec 27, 2017","1,287.00","1,284.00","1,285.70","1,284.00","0.07K","0.23%"
"Dec 26, 2017","1,284.10","1,282.40","1,284.10","1,281.80","0.08K","0.49%"
"Dec 25, 2017","1,277.90","1,278.90","1,279.50","1,277.90","-","0.20%"
"Dec 22, 2017","1,275.40","1,266.30","1,276.30","1,266.30","0.12K","0.64%"
"Dec 21, 2017","1,267.30","1,266.40","1,267.40","1,264.30","0.23K","0.09%"
"Dec 20, 2017","1,266.10","1,261.30","1,266.60","1,261.30","0.06K","0.43%"
"Dec 19, 2017","1,260.70","1,261.10","1,264.30","1,259.50","0.33K","-0.12%"
"Dec 18, 2017","1,262.20","1,256.20","1,262.40","1,255.70","0.05K","0.63%"
"Dec 15, 2017","1,254.30","1,253.10","1,260.30","1,253.10","0.58K","0.04%"
"Dec 14, 2017","1,253.80","1,252.90","1,257.70","1,250.30","0.14K","0.67%"
"Dec 13, 2017","1,245.40","1,241.90","1,254.50","1,239.80","0.35K","0.56%"
"Dec 12, 2017","1,238.50","1,241.30","1,244.40","1,236.50","0.69K","-0.42%"
"Dec 11, 2017","1,243.70","1,248.40","1,249.20","1,239.90","0.15K","-0.12%"
"Dec 08, 2017","1,245.20","1,246.30","1,249.30","1,241.50","0.16K","-0.37%"
"Dec 07, 2017","1,249.80","1,262.30","1,262.40","1,243.90","0.36K","-1.03%"
"Dec 06, 2017","1,262.80","1,264.90","1,267.80","1,261.60","0.37K","0.10%"
"Dec 05, 2017","1,261.60","1,275.40","1,275.80","1,260.00","1.50K","-1.00%"
"Dec 04, 2017","1,274.30","1,272.50","1,276.10","1,270.30","0.85K","-0.35%"
"Dec 01, 2017","1,278.80","1,274.10","1,288.60","1,271.00","0.82K","0.44%"
"Nov 30, 2017","1,273.20","1,283.10","1,284.50","1,269.70","3.05K","-0.69%"
"Nov 29, 2017","1,282.10","1,293.40","1,296.20","1,281.10","47.24K","-0.97%"
"Nov 28, 2017","1,294.70","1,294.70","1,294.70","1,294.70","4.06K","0.07%"
"Nov 27, 2017","1,293.80","1,293.80","1,293.80","1,293.80","0.00K","0.55%"
"Nov 24, 2017","1,286.70","1,286.70","1,286.70","1,286.70","11.75K","-0.38%"
"Nov 23, 2017","1,291.66","1,291.19","1,293.87","1,287.65","-","0.00%"
"Nov 22, 2017","1,291.60","1,284.70","1,284.70","1,282.90","0.00K","0.82%"
"Nov 21, 2017","1,281.10","1,281.10","1,281.10","1,281.10","3.33K","0.51%"
"Nov 20, 2017","1,274.60","1,275.90","1,275.90","1,275.90","0.00K","-1.64%"
"Nov 17, 2017","1,295.80","1,288.30","1,288.30","1,288.30","0.00K","1.44%"
"Nov 16, 2017","1,277.40","1,277.50","1,277.50","1,277.50","0.04K","0.07%"
"Nov 15, 2017","1,276.50","1,281.40","1,284.70","1,275.90","0.01K","-0.39%"
"Nov 14, 2017","1,281.50","1,276.90","1,279.10","1,276.90","0.00K","0.33%"
"Nov 13, 2017","1,277.30","1,277.00","1,277.00","1,277.00","0.00K","0.39%"
"Nov 10, 2017","1,272.40","1,283.50","1,283.50","1,273.80","0.01K","-1.03%"
"Nov 09, 2017","1,285.60","1,279.70","1,286.90","1,279.70","0.02K","0.31%"
"Nov 08, 2017","1,281.60","1,275.90","1,284.90","1,274.70","0.02K","0.62%"
"Nov 07, 2017","1,273.70","1,276.80","1,276.80","1,270.40","0.01K","-0.45%"
"Nov 06, 2017","1,279.40","1,269.00","1,280.50","1,269.00","0.13K","1.02%"
"Nov 03, 2017","1,266.50","1,265.30","1,267.90","1,265.30","0.08K","-0.66%"
"Nov 02, 2017","1,274.90","1,274.90","1,274.90","1,274.90","0.07K","0.06%"
"Nov 01, 2017","1,274.10","1,272.20","1,274.80","1,270.30","0.08K","0.56%"
"Oct 31, 2017","1,267.00","1,273.10","1,274.60","1,266.10","0.24K","-0.56%"
"Oct 30, 2017","1,274.10","1,270.00","1,274.10","1,267.90","0.22K","0.44%"
"Oct 27, 2017","1,268.50","1,268.40","1,268.40","1,267.10","0.15K","0.17%"
"Oct 26, 2017","1,266.30","1,273.50","1,273.50","1,264.70","0.04K","-0.71%"
"Oct 25, 2017","1,275.40","1,269.90","1,275.20","1,269.90","0.11K","0.03%"
"Oct 24, 2017","1,275.00","1,275.50","1,275.50","1,273.70","0.11K","-0.21%"
"Oct 23, 2017","1,277.70","1,274.70","1,280.80","1,271.50","0.12K","0.02%"
"Oct 20, 2017","1,277.40","1,279.60","1,279.60","1,277.80","0.30K","-0.74%"
"Oct 19, 2017","1,286.90","1,286.40","1,286.40","1,285.10","0.13K","0.55%"
"Oct 18, 2017","1,279.90","1,279.90","1,279.90","1,279.90","0.16K","-0.24%"
"Oct 17, 2017","1,283.00","1,295.10","1,295.10","1,283.10","0.57K","-1.30%"
"Oct 16, 2017","1,299.90","1,302.00","1,303.80","1,291.90","0.17K","-0.12%"
"Oct 13, 2017","1,301.50","1,293.30","1,301.70","1,291.70","0.07K","0.63%"
"Oct 12, 2017","1,293.30","1,291.50","1,294.50","1,289.30","0.01K","0.58%"
"Oct 11, 2017","1,285.80","1,287.30","1,292.00","1,284.90","0.02K","-0.37%"
"Oct 10, 2017","1,290.60","1,282.60","1,293.00","1,281.70","0.02K","0.69%"
"Oct 09, 2017","1,281.80","1,280.60","1,284.00","1,279.00","0.02K","0.80%"
"Oct 06, 2017","1,271.60","1,267.60","1,272.00","1,260.50","0.05K","0.13%"
"Oct 05, 2017","1,269.90","1,277.80","1,277.80","1,267.60","0.04K","-0.30%"
"Oct 04, 2017","1,273.70","1,273.80","1,280.80","1,270.00","0.22K","0.17%"
"Oct 03, 2017","1,271.50","1,269.70","1,273.30","1,268.60","0.19K","-0.09%"
"Oct 02, 2017","1,272.70","1,275.00","1,276.10","1,270.40","0.14K","-0.69%"
"Sep 29, 2017","1,281.50","1,284.20","1,289.40","1,281.80","0.49K","-0.31%"
"Sep 28, 2017","1,285.50","1,283.10","1,288.00","1,277.00","5.23K","0.16%"
"Sep 27, 2017","1,283.40","1,283.40","1,283.40","1,283.40","0.02K","-1.05%"
"Sep 26, 2017","1,297.00","1,304.50","1,305.60","1,298.70","0.04K","-0.75%"
"Sep 25, 2017","1,306.80","1,293.10","1,309.20","1,291.00","0.05K","1.04%"
"Sep 22, 2017","1,293.30","1,295.00","1,295.70","1,293.60","0.21K","0.21%"
"Sep 21, 2017","1,290.60","1,299.10","1,304.10","1,290.30","0.34K","-1.63%"
"Sep 20, 2017","1,312.00","1,300.90","1,300.90","1,298.70","0.01K","0.44%"
"Sep 19, 2017","1,306.20","1,307.90","1,310.30","1,305.10","0.02K","-0.01%"
"Sep 18, 2017","1,306.30","1,309.80","1,310.40","1,306.00","0.13K","-1.07%"
"Sep 15, 2017","1,320.40","1,320.60","1,321.20","1,319.80","0.02K","-0.32%"
"Sep 14, 2017","1,324.70","1,319.60","1,329.30","1,319.60","0.32K","0.10%"
"Sep 13, 2017","1,323.40","1,323.40","1,323.40","1,323.40","1.78K","-0.35%"
"Sep 12, 2017","1,328.00","1,327.00","1,327.00","1,325.20","0.02K","-0.23%"
"Sep 11, 2017","1,331.00","1,330.00","1,330.00","1,327.30","0.01K","-1.11%"
"Sep 08, 2017","1,346.00","1,351.00","1,355.80","1,345.60","0.04K","0.07%"
"Sep 07, 2017","1,345.10","1,336.40","1,349.00","1,336.40","0.03K","0.84%"
"Sep 06, 2017","1,333.90","1,340.00","1,340.30","1,332.60","0.02K","-0.40%"
"Sep 05, 2017","1,339.20","1,335.20","1,337.00","1,328.60","0.07K","0.08%"
"Sep 04, 2017","1,338.08","1,341.21","1,344.59","1,337.01","-","-0.23%"
"Sep 03, 2017","1,341.22","1,340.54","1,342.07","1,338.96","-","1.26%"
"Sep 01, 2017","1,324.50","1,320.20","1,327.70","1,316.90","0.04K","0.63%"
"Aug 31, 2017","1,316.20","1,306.60","1,322.30","1,301.70","0.31K","0.62%"
"Aug 30, 2017","1,308.10","1,308.20","1,312.50","1,304.90","0.37K","-0.38%"
"Aug 29, 2017","1,313.10","1,318.80","1,323.80","1,314.00","0.30K","0.26%"
"Aug 28, 2017","1,309.70","1,293.50","1,311.30","1,293.50","0.15K","1.33%"
"Aug 25, 2017","1,292.50","1,285.40","1,292.70","1,280.30","0.28K","0.47%"
"Aug 24, 2017","1,286.50","1,288.70","1,288.70","1,284.00","0.55K","-0.19%"
"Aug 23, 2017","1,288.90","1,289.40","1,289.40","1,286.90","0.25K","0.30%"
"Aug 22, 2017","1,285.10","1,287.20","1,288.40","1,283.20","0.10K","-0.44%"
"Aug 21, 2017","1,290.80","1,285.20","1,290.80","1,284.70","0.02K","0.40%"
"Aug 18, 2017","1,285.70","1,288.60","1,300.70","1,284.30","0.36K","-0.05%"
"Aug 17, 2017","1,286.40","1,283.80","1,288.50","1,283.20","0.04K","0.74%"
"Aug 16, 2017","1,276.90","1,271.30","1,282.60","1,269.40","0.11K","0.25%"
"Aug 15, 2017","1,273.70","1,280.50","1,280.50","1,267.40","0.19K","-0.82%"
"Aug 14, 2017","1,284.20","1,288.40","1,288.40","1,278.80","0.34K","-0.27%"
"Aug 11, 2017","1,287.70","1,286.30","1,291.10","1,282.00","0.14K","0.31%"
"Aug 10, 2017","1,283.70","1,276.60","1,287.40","1,274.90","0.61K","0.84%"
"Aug 09, 2017","1,273.00","1,260.20","1,277.80","1,260.20","0.57K","1.32%"
"Aug 08, 2017","1,256.40","1,256.90","1,264.10","1,251.40","0.56K","-0.14%"
"Aug 07, 2017","1,258.20","1,258.70","1,259.10","1,255.30","0.26K","-0.01%"
"Aug 04, 2017","1,258.30","1,269.00","1,269.60","1,253.90","0.52K","-0.75%"
"Aug 03, 2017","1,267.80","1,265.90","1,269.80","1,256.60","0.88K","-0.31%"
"Aug 02, 2017","1,271.80","1,268.50","1,272.10","1,262.90","0.39K","-0.06%"
"Aug 01, 2017","1,272.60","1,268.40","1,273.30","1,262.00","1.06K","0.47%"
"Jul 31, 2017","1,266.60","1,268.90","1,270.80","1,265.80","7.78K","-0.14%"
"Jul 28, 2017","1,268.40","1,258.40","1,270.00","1,256.90","64.18K","0.70%"
"Jul 27, 2017","1,259.60","1,259.60","1,259.60","1,259.60","0.11K","0.85%"
"Jul 26, 2017","1,249.00","1,244.80","1,247.40","1,244.80","0.01K","-0.22%"
"Jul 25, 2017","1,251.70","1,252.70","1,253.60","1,249.20","0.02K","-0.18%"
"Jul 24, 2017","1,253.90","1,256.00","1,256.00","1,254.10","0.01K","-0.03%"
"Jul 21, 2017","1,254.30","1,250.70","1,251.10","1,250.50","0.02K","0.76%"
"Jul 20, 2017","1,244.80","1,236.60","1,236.80","1,236.60","0.01K","0.29%"
"Jul 19, 2017","1,241.20","1,240.40","1,240.40","1,240.10","0.00K","0.01%"
